sample_name,longitude,latitude,point_id
SAMPLE_0001,-77.03339798514496,42.83651914250857,1
SAMPLE_0002,-77.0340232845922,42.83794004807333,2
SAMPLE_0003,-77.03236353163526,42.83374897811944,3
SAMPLE_0004,-77.0316579892603,42.835358437881844,4
SAMPLE_0005,-77.0315683388264,42.8334606247452,5
SAMPLE_0006,-77.02547832067081,42.83845086201469,6
SAMPLE_0007,-77.023442052406,42.83745571252274,7
SAMPLE_0008,-77.0170386179595,42.837166959964094,8
SAMPLE_0009,-77.02190110585191,42.83946594368078,9
SAMPLE_0010,-77.02202370161439,42.840115678830834,10
SAMPLE_0011,-77.0266212171995,42.83234786064571,11
SAMPLE_0012,-77.02664961796744,42.83068841840489,12
SAMPLE_0013,-77.02770333774777,42.8300005155419,13
SAMPLE_0014,-77.02457427782869,42.82970413462054,14
SAMPLE_0015,-77.02661268762513,42.83051183406175,15
SAMPLE_0016,-77.01503816206255,42.83322204734925,16
SAMPLE_0017,-77.01933146355776,42.829161923979086,17
SAMPLE_0018,-77.01812358489845,42.82937133546595,18
SAMPLE_0019,-77.0161576924491,42.82981787327665,19
SAMPLE_0020,-77.01825813366548,42.831708990042145,20
