sample_name,longitude,latitude,point_id
SAMPLE_P5_0001,-77.03421563356315,42.83620524199326,1
SAMPLE_P5_0002,-77.03297116467898,42.83668597499446,2
SAMPLE_P5_0003,-77.0333631718604,42.83361714055071,3
SAMPLE_P5_0004,-77.03217455695844,42.83356684190966,4
SAMPLE_P5_0005,-77.03331678176346,42.83668095542353,5
SAMPLE_P5_0006,-77.02116108518265,42.83817942570695,6
SAMPLE_P5_0007,-77.02322742087307,42.83627602000246,7
SAMPLE_P5_0008,-77.02213948886987,42.83983329838007,8
SAMPLE_P5_0009,-77.01607693074273,42.836150920199884,9
SAMPLE_P5_0010,-77.01817247283488,42.83815696373149,10
SAMPLE_P5_0011,-77.0245278002726,42.829884323463716,11
SAMPLE_P5_0012,-77.02560084955962,42.83141669604789,12
SAMPLE_P5_0013,-77.02569568465609,42.830166589391105,13
SAMPLE_P5_0014,-77.02672227109865,42.831352137463206,14
SAMPLE_P5_0015,-77.02574612292157,42.82970082425176,15
SAMPLE_P5_0016,-77.01852069455316,42.832277552665516,16
SAMPLE_P5_0017,-77.01719906874003,42.83024296156238,17
SAMPLE_P5_0018,-77.0153217494379,42.8333243884775,18
SAMPLE_P5_0019,-77.01620418248177,42.83054990540553,19
SAMPLE_P5_0020,-77.01639551713686,42.83297036091373,20
