sample_name,longitude,latitude,point_id
SAMPLE_0001,-77.04565831344411,42.87132375435834,1
SAMPLE_0002,-77.04549876326922,42.87101001192063,2
SAMPLE_0003,-77.04568215042592,42.87133606596932,3
SAMPLE_0004,-77.04555167872752,42.87136969528674,4
SAMPLE_0005,-77.04579147938495,42.871006518571505,5
SAMPLE_0006,-77.0460711716735,42.87122924728414,6
SAMPLE_0007,-77.04611201737096,42.87100152413777,7
SAMPLE_0008,-77.04594441713537,42.871323864199105,8
SAMPLE_0009,-77.0461368706099,42.87096299997039,9
SAMPLE_0010,-77.04596146427942,42.87109485344017,10
SAMPLE_0011,-77.04651895375794,42.870933450373904,11
SAMPLE_0012,-77.04636597951053,42.87116426166629,12
SAMPLE_0013,-77.04651891204598,42.87106897270111,13
SAMPLE_0014,-77.04651351984504,42.87076398160247,14
SAMPLE_0015,-77.04656120064625,42.871210669772424,15
